ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return
000001.SZ,2025-06-03,11.54,11.91,11.53,11.81,11.56,0.25,2.1626,2192479.66,2580962.601,
000001.SZ,2025-06-04,11.82,11.88,11.78,11.84,11.81,0.03,0.254,1167959.5,1383019.682,0.002540220152413175
000001.SZ,2025-06-05,11.88,11.91,11.66,11.67,11.84,-0.17,-1.4358,1166803.49,1369212.336,-0.014358108108108114
000001.SZ,2025-06-06,11.7,11.79,11.68,11.7,11.67,0.03,0.2571,682352.51,799900.024,0.0025706940874035134
000001.SZ,2025-06-09,11.73,11.75,11.65,11.71,11.7,0.01,0.0855,773254.68,905092.605,0.0008547008547010737
000001.SZ,2025-06-10,11.72,11.89,11.71,11.81,11.71,0.1,0.854,1428131.8,1689018.78,0.00853970964987183
000001.SZ,2025-06-11,11.82,11.93,11.79,11.85,11.81,0.04,0.3387,1094666.64,1298656.315,0.003386960203217493
000001.SZ,2025-06-12,11.56,11.7,11.52,11.68,11.49,0.19,1.6536,1290220.47,1500287.176,-0.014345991561181437
000001.SZ,2025-06-13,11.68,11.74,11.56,11.58,11.68,-0.1,-0.8562,1095494.19,1272773.101,-0.008561643835616417
000001.SZ,2025-06-16,11.57,11.79,11.53,11.79,11.58,0.21,1.8135,1174438.27,1371041.708,0.018134715025906578
000001.SZ,2025-06-17,11.79,11.88,11.71,11.76,11.79,-0.03,-0.2545,890027.34,1048960.749,-0.0025445292620864812
000001.SZ,2025-06-18,11.78,11.81,11.66,11.77,11.76,0.01,0.085,683521.11,802908.098,0.0008503401360544505
000001.SZ,2025-06-19,11.76,11.78,11.65,11.7,11.77,-0.07,-0.5947,832247.16,974127.331,-0.005947323704333041
000001.SZ,2025-06-20,11.7,11.86,11.67,11.84,11.7,0.14,1.1966,1309197.82,1544541.881,0.011965811965811923
000001.SZ,2025-06-23,11.81,11.97,11.67,11.93,11.84,0.09,0.7601,1389170.48,1646476.917,0.007601351351351315
000001.SZ,2025-06-24,11.9,12.01,11.84,11.93,11.93,0.0,0.0,1308525.31,1560621.893,0.0
000001.SZ,2025-06-25,11.93,12.08,11.83,12.06,11.93,0.13,1.0897,1675116.47,2007989.727,0.010896898575021075
000001.SZ,2025-06-26,12.05,12.48,12.01,12.41,12.06,0.35,2.9022,2174577.66,2672207.529,0.029021558872305064
000001.SZ,2025-06-27,12.37,12.58,12.13,12.2,12.41,-0.21,-1.6922,2377600.15,2937865.058,-0.01692183722804197
000001.SZ,2025-06-30,12.14,12.17,11.96,12.07,12.2,-0.13,-1.0656,1504819.65,1812492.377,-0.0106557377049179
000001.SZ,2025-07-01,12.06,12.33,12.06,12.3,12.07,0.23,1.9056,1354341.08,1653806.75,0.0190555095277547
000001.SZ,2025-07-02,12.31,12.41,12.23,12.32,12.3,0.02,0.1626,1200411.84,1481842.213,0.001626016260162677
000001.SZ,2025-07-03,12.33,12.42,12.28,12.35,12.32,0.03,0.2435,794085.97,980546.007,0.0024350649350648457
000001.SZ,2025-07-04,12.35,12.72,12.3,12.6,12.35,0.25,2.0243,1775332.67,2224874.056,0.020242914979757165
000001.SZ,2025-07-07,12.6,12.82,12.6,12.78,12.6,0.18,1.4286,1495406.53,1901755.851,0.014285714285714235
000001.SZ,2025-07-08,12.75,12.84,12.65,12.69,12.78,-0.09,-0.7042,1090985.97,1387093.602,-0.007042253521126751
000001.SZ,2025-07-09,12.66,12.9,12.66,12.84,12.69,0.15,1.182,1205963.3,1542699.035,0.011820330969267268
000001.SZ,2025-07-10,12.82,13.33,12.79,13.18,12.84,0.34,2.648,2481415.53,3249454.029,0.026479750778816147
000001.SZ,2025-07-11,13.19,13.3,12.89,12.91,13.18,-0.27,-2.0486,2443743.5,3200219.566,-0.020485584218512876
000001.SZ,2025-07-14,12.87,13.17,12.86,12.98,12.91,0.07,0.5422,1872895.85,2440924.105,0.005422153369481153
000001.SZ,2025-07-15,12.99,13.04,12.71,12.73,12.98,-0.25,-1.926,1810531.31,2322277.285,-0.01926040061633283
000001.SZ,2025-07-16,12.73,12.76,12.5,12.64,12.73,-0.09,-0.707,1927863.79,2424983.973,-0.0070699135899450205
000001.SZ,2025-07-17,12.61,12.7,12.54,12.59,12.64,-0.05,-0.3956,944641.4,1189666.227,-0.003955696202531667
000001.SZ,2025-07-18,12.62,12.75,12.6,12.7,12.59,0.11,0.8737,1241206.11,1574176.824,0.008737092930897417
000001.SZ,2025-07-21,12.64,12.71,12.55,12.61,12.7,-0.09,-0.7087,1079026.62,1360155.719,-0.007086614173228312
000001.SZ,2025-07-22,12.6,12.6,12.32,12.49,12.61,-0.12,-0.9516,1935229.16,2408337.286,-0.009516256938937317
000001.SZ,2025-07-23,12.46,12.63,12.45,12.53,12.49,0.04,0.3203,1370520.0,1719158.803,0.0032025620496396456
000001.SZ,2025-07-24,12.53,12.53,12.33,12.35,12.53,-0.18,-1.4366,1959350.57,2426175.236,-0.01436552274541103
000001.SZ,2025-07-25,12.33,12.46,12.32,12.35,12.35,0.0,0.0,1108266.66,1372103.731,0.0
000001.SZ,2025-07-28,12.35,12.53,12.32,12.46,12.35,0.11,0.8907,1238242.78,1541317.047,0.00890688259109318
000001.SZ,2025-07-29,12.46,12.51,12.34,12.34,12.46,-0.12,-0.9631,1012818.01,1255113.972,-0.009630818619582704
000001.SZ,2025-07-30,12.35,12.64,12.34,12.49,12.34,0.15,1.2156,1715163.6,2149934.405,0.012155591572123203
000001.SZ,2025-07-31,12.51,12.55,12.22,12.23,12.49,-0.26,-2.0817,1690081.25,2079630.602,-0.02081665332265814
000001.SZ,2025-08-01,12.24,12.33,12.15,12.28,12.23,0.05,0.4088,1012186.98,1240239.18,0.004088307440719419
000001.SZ,2025-08-04,12.24,12.38,12.21,12.3,12.28,0.02,0.1629,1032689.69,1271376.407,0.0016286644951140072
000001.SZ,2025-08-05,12.3,12.5,12.28,12.47,12.3,0.17,1.3821,1132078.2,1405152.349,0.0138211382113822
000001.SZ,2025-08-06,12.47,12.52,12.4,12.46,12.47,-0.01,-0.0802,690447.65,859684.675,-0.000801924619085792
000001.SZ,2025-08-07,12.44,12.53,12.39,12.47,12.46,0.01,0.0803,722053.05,900760.013,0.0008025682182986049
000001.SZ,2025-08-08,12.48,12.53,12.39,12.4,12.47,-0.07,-0.5613,829795.91,1032586.759,-0.005613472333600655
000001.SZ,2025-08-11,12.4,12.42,12.27,12.3,12.4,-0.1,-0.8065,934353.15,1150305.113,-0.008064516129032251
000001.SZ,2025-08-12,12.3,12.4,12.3,12.33,12.3,0.03,0.2439,680056.19,839635.63,0.0024390243902439046
000001.SZ,2025-08-13,12.37,12.4,12.23,12.26,12.33,-0.07,-0.5677,1119813.05,1376777.909,-0.005677210056772131
000001.SZ,2025-08-14,12.27,12.34,12.19,12.2,12.26,-0.06,-0.4894,1241041.29,1523447.932,-0.004893964110929905
000001.SZ,2025-08-15,12.23,12.23,11.94,12.08,12.2,-0.12,-0.9836,1948502.95,2344073.499,-0.00983606557377048
000001.SZ,2025-08-18,12.06,12.15,12.03,12.08,12.08,0.0,0.0,1239058.37,1496527.039,0.0
000001.SZ,2025-08-19,12.1,12.12,12.02,12.06,12.08,-0.02,-0.1656,892859.89,1077380.173,-0.0016556291390728006
000001.SZ,2025-08-20,12.06,12.12,11.98,12.07,12.06,0.01,0.0829,1048738.53,1265435.773,0.0008291873963515162
000001.SZ,2025-08-21,12.05,12.19,12.03,12.15,12.07,0.08,0.6628,1217418.25,1477053.292,0.006628003314001596
000001.SZ,2025-08-22,12.15,12.17,11.98,12.06,12.15,-0.09,-0.7407,1644259.77,1979461.311,-0.007407407407407418
000001.SZ,2025-08-25,12.12,12.53,12.1,12.45,12.06,0.39,3.2338,3045087.53,3761289.076,0.03233830845771135
000001.SZ,2025-08-26,12.45,12.5,12.3,12.36,12.45,-0.09,-0.7229,1383598.61,1709560.923,-0.0072289156626506035
000001.SZ,2025-08-27,12.32,12.36,12.05,12.06,12.36,-0.3,-2.4272,1860049.5,2268070.721,-0.024271844660194053
000001.SZ,2025-08-28,12.09,12.14,11.97,12.08,12.06,0.02,0.1658,1653587.93,1991723.374,0.0016583747927030323
000001.SZ,2025-08-29,12.05,12.22,12.03,12.05,12.08,-0.03,-0.2483,1805125.68,2186232.853,-0.002483443708609201
000001.SZ,2025-09-01,12.05,12.05,11.85,11.89,12.05,-0.16,-1.3278,1858459.02,2214306.332,-0.01327800829875525
