ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return
600276.SH,2025-06-03,54.74,55.78,54.25,54.88,54.74,0.14,0.2558,434450.35,2397345.666,
600276.SH,2025-06-04,54.84,55.84,54.61,55.29,54.88,0.41,0.7471,368593.02,2038925.051,0.007470845481049482
600276.SH,2025-06-05,55.1,55.1,53.55,53.88,55.29,-1.41,-2.5502,495272.67,2675359.811,-0.025501899077590817
600276.SH,2025-06-06,53.9,54.18,53.38,53.8,53.88,-0.08,-0.1485,344533.88,1849932.993,-0.0014847809948033142
600276.SH,2025-06-09,54.0,55.79,53.78,54.36,53.8,0.56,1.0409,656905.82,3607525.589,0.010408921933085624
600276.SH,2025-06-10,54.38,55.8,54.38,55.13,54.36,0.77,1.4165,480735.17,2654117.466,0.014164827078734454
600276.SH,2025-06-11,55.0,55.81,54.55,54.71,55.13,-0.42,-0.7618,377735.66,2080608.921,-0.007618356611645227
600276.SH,2025-06-12,54.4,56.2,54.0,55.82,54.71,1.11,2.0289,493188.22,2730556.453,0.020288795467007903
600276.SH,2025-06-13,55.69,56.06,53.56,53.89,55.82,-1.93,-3.4575,660238.3,3593704.539,-0.0345754209960587
600276.SH,2025-06-16,53.41,54.08,53.1,53.76,53.89,-0.13,-0.2412,392241.37,2100282.375,-0.002412321395435235
600276.SH,2025-06-17,54.0,54.21,51.6,51.84,53.76,-1.92,-3.5714,695180.32,3648258.374,-0.03571428571428559
600276.SH,2025-06-18,51.7,52.23,51.32,51.81,51.84,-0.03,-0.0579,334095.43,1728559.051,-0.0005787037037037202
600276.SH,2025-06-19,51.84,52.39,51.31,51.58,51.81,-0.23,-0.4439,373166.94,1930536.852,-0.0044392974329280355
600276.SH,2025-06-20,51.75,52.33,51.63,51.76,51.58,0.18,0.349,240607.75,1249132.876,0.003489724699495822
600276.SH,2025-06-23,51.68,52.18,51.2,51.96,51.76,0.2,0.3864,313281.06,1620281.115,0.003863987635239541
600276.SH,2025-06-24,52.09,52.5,51.73,52.15,51.96,0.19,0.3657,451035.39,2347206.997,0.003656658968437254
600276.SH,2025-06-25,52.15,53.03,51.31,52.95,52.15,0.8,1.534,536481.96,2799316.482,0.015340364333652934
600276.SH,2025-06-26,52.6,52.95,51.9,52.08,52.95,-0.87,-1.6431,392268.68,2050704.854,-0.01643059490084997
600276.SH,2025-06-27,51.91,52.07,51.67,51.95,52.08,-0.13,-0.2496,287765.07,1492711.802,-0.0024961597542242364
600276.SH,2025-06-30,51.91,52.19,50.99,51.9,51.95,-0.05,-0.0962,445354.88,2292910.157,-0.0009624639076035724
600276.SH,2025-07-01,51.89,52.74,51.8,52.46,51.9,0.56,1.079,397724.96,2084478.374,0.010789980732177407
600276.SH,2025-07-02,52.4,53.44,52.1,52.25,52.46,-0.21,-0.4003,325712.23,1714632.081,-0.004003049942813641
600276.SH,2025-07-03,52.26,52.58,51.81,52.47,52.25,0.22,0.4211,293678.18,1536828.863,0.004210526315789442
600276.SH,2025-07-04,52.61,53.79,52.6,53.26,52.47,0.79,1.5056,477923.12,2548289.616,0.015056222603392344
600276.SH,2025-07-07,53.38,53.59,52.56,52.65,53.26,-0.61,-1.1453,286387.94,1516132.786,-0.011453248216297451
600276.SH,2025-07-08,52.69,53.69,52.5,53.4,52.65,0.75,1.4245,359263.15,1916547.623,0.014245014245014342
600276.SH,2025-07-09,53.4,57.94,53.02,57.19,53.4,3.79,7.0974,1158211.69,6507788.433,0.07097378277153554
600276.SH,2025-07-10,57.13,58.28,56.61,57.6,57.19,0.41,0.7169,903715.7,5204345.946,0.0071690855044588275
600276.SH,2025-07-11,57.51,58.12,56.88,56.9,57.6,-0.7,-1.2153,658631.71,3779524.292,-0.01215277777777779
600276.SH,2025-07-14,56.75,58.05,56.56,57.21,56.9,0.31,0.5448,473758.36,2714468.293,0.005448154657293536
600276.SH,2025-07-15,57.25,57.53,56.52,57.22,57.21,0.01,0.0175,436928.47,2491977.102,0.00017479461632574633
600276.SH,2025-07-16,57.65,58.9,57.04,57.22,57.22,0.0,0.0,398191.2,2293530.537,0.0
600276.SH,2025-07-17,56.9,57.9,56.84,57.73,57.22,0.51,0.8913,444146.28,2553187.389,0.008912967493883261
600276.SH,2025-07-18,58.21,59.86,57.9,58.76,57.73,1.03,1.7842,660985.65,3881474.081,0.017841676771176207
600276.SH,2025-07-21,58.5,58.8,57.68,58.0,58.76,-0.76,-1.2934,509441.85,2960736.582,-0.012933968686181019
600276.SH,2025-07-22,58.0,58.85,57.2,57.41,58.0,-0.59,-1.0172,475570.25,2753253.571,-0.010172413793103519
600276.SH,2025-07-23,57.2,58.08,56.87,57.13,57.41,-0.28,-0.4877,425295.11,2440208.239,-0.004877199094234341
600276.SH,2025-07-24,57.44,57.98,56.95,57.5,57.13,0.37,0.6476,465834.15,2670846.698,0.0064764572028706
600276.SH,2025-07-25,57.5,57.55,56.35,56.4,57.5,-1.1,-1.913,505394.23,2873987.055,-0.019130434782608674
600276.SH,2025-07-28,60.1,62.04,59.66,62.04,56.4,5.64,10.0,1630095.95,9943549.097,0.10000000000000009
600276.SH,2025-07-29,63.0,65.43,62.13,63.8,62.04,1.76,2.8369,1682768.89,10731327.179,0.028368794326241176
600276.SH,2025-07-30,63.81,64.73,62.65,63.59,63.8,-0.21,-0.3292,980849.33,6247901.661,-0.0032915360501566404
600276.SH,2025-07-31,63.4,64.25,62.5,62.9,63.59,-0.69,-1.0851,742038.75,4690208.201,-0.010850762698537575
600276.SH,2025-08-01,62.83,63.58,60.76,61.31,62.9,-1.59,-2.5278,734654.64,4545894.531,-0.025278219395866386
600276.SH,2025-08-04,60.6,62.05,60.0,62.0,61.31,0.69,1.1254,689613.49,4217834.709,0.011254281520143516
600276.SH,2025-08-05,62.11,62.46,61.56,62.3,62.0,0.3,0.4839,541443.18,3356911.222,0.004838709677419395
600276.SH,2025-08-06,62.19,62.55,61.38,61.58,62.3,-0.72,-1.1557,572478.61,3539622.159,-0.011556982343499222
600276.SH,2025-08-07,61.25,62.1,60.7,60.81,61.58,-0.77,-1.2504,504763.97,3088025.792,-0.012504059759662178
600276.SH,2025-08-08,60.7,61.13,60.0,60.99,60.81,0.18,0.296,362970.73,2203721.883,0.002960039467192921
600276.SH,2025-08-11,60.99,61.42,60.68,61.07,60.99,0.08,0.1312,425752.38,2600063.209,0.001311690441055946
600276.SH,2025-08-12,61.32,61.45,60.26,60.85,61.07,-0.22,-0.3602,391834.75,2380971.082,-0.0036024234485017015
600276.SH,2025-08-13,60.85,63.51,60.85,62.61,60.85,1.76,2.8924,815296.32,5079201.588,0.02892358258011507
600276.SH,2025-08-14,62.85,63.6,62.36,62.82,62.61,0.21,0.3354,571266.47,3597162.01,0.0033540967896501517
600276.SH,2025-08-15,62.64,64.27,62.46,63.4,62.82,0.58,0.9233,614932.54,3908038.788,0.009232728430436099
600276.SH,2025-08-18,63.4,63.95,62.81,63.08,63.4,-0.32,-0.5047,728857.56,4616557.07,-0.0050473186119873725
600276.SH,2025-08-19,63.4,65.4,61.63,61.69,63.08,-1.39,-2.2036,997700.49,6322095.612,-0.022035510462904306
600276.SH,2025-08-20,61.66,62.97,61.11,62.85,61.69,1.16,1.8804,650424.42,4025484.233,0.018803695898849115
600276.SH,2025-08-21,63.98,65.33,62.95,63.99,62.85,1.14,1.8138,858629.23,5507421.603,0.018138424821002364
600276.SH,2025-08-22,64.71,65.2,63.83,64.98,63.99,0.99,1.5471,637718.91,4115097.233,0.015471167369901506
600276.SH,2025-08-25,64.98,66.4,64.37,66.26,64.98,1.28,1.9698,849233.81,5551997.681,0.019698368728839677
600276.SH,2025-08-26,66.2,66.2,65.0,65.3,66.26,-0.96,-1.4488,575129.37,3761929.156,-0.014488379112586935
600276.SH,2025-08-27,65.01,65.71,63.04,63.05,65.3,-2.25,-3.4456,836169.34,5375767.159,-0.034456355283307816
600276.SH,2025-08-28,62.95,63.22,61.41,63.03,63.05,-0.02,-0.0317,715901.54,4469129.644,-0.0003172085646311329
600276.SH,2025-08-29,63.03,66.87,63.03,66.23,63.03,3.2,5.0769,1023186.07,6677635.302,0.05076947485324457
600276.SH,2025-09-01,66.4,68.88,65.92,68.35,66.23,2.12,3.201,872180.89,5917826.674,0.03200966329457944
600276.SH,2025-09-02,69.8,70.77,67.8,68.87,68.35,0.52,0.7608,1084489.69,7512721.689,0.007607900512070387
600276.SH,2025-09-03,68.8,73.42,68.8,71.98,68.87,3.11,4.5158,1129369.01,8078844.874,0.04515754319732834
600276.SH,2025-09-04,71.27,71.58,67.5,68.65,71.98,-3.33,-4.6263,1102894.06,7625423.229,-0.046262850791886634
600276.SH,2025-09-05,69.0,72.98,69.0,72.47,68.65,3.82,5.5645,936478.56,6663122.815,0.055644573925710095
600276.SH,2025-09-08,73.0,73.87,71.64,72.31,72.47,-0.16,-0.2208,748209.28,5423039.921,-0.0022078101283289353
600276.SH,2025-09-09,72.17,74.04,70.48,71.09,72.31,-1.22,-1.6872,767670.09,5517534.684,-0.01687180196376714
600276.SH,2025-09-10,70.84,71.77,70.08,70.32,71.09,-0.77,-1.0831,468204.13,3306783.039,-0.010831340554227187
600276.SH,2025-09-11,66.58,68.47,64.0,68.29,70.32,-2.03,-2.8868,1942359.37,12928573.364,-0.028868031854379805
600276.SH,2025-09-12,68.28,69.51,67.86,69.01,68.29,0.72,1.0543,831215.21,5710845.365,0.01054327134280264
600276.SH,2025-09-15,68.85,69.69,68.26,69.1,69.01,0.09,0.1304,611881.53,4225790.379,0.0013041588175624064
600276.SH,2025-09-16,69.1,69.34,68.34,69.15,69.1,0.05,0.0724,434582.05,2991348.434,0.0007235890014474222
600276.SH,2025-09-17,69.3,70.8,69.3,70.13,69.15,0.98,1.4172,586033.71,4103135.889,0.014172089660158926
600276.SH,2025-09-18,70.56,73.12,69.9,71.09,70.13,0.96,1.3689,865638.88,6173830.34,0.013688863539141671
600276.SH,2025-09-19,71.1,71.24,69.49,69.65,71.09,-1.44,-2.0256,524392.42,3681125.692,-0.020256013504008963
600276.SH,2025-09-22,70.49,72.7,70.4,71.05,69.65,1.4,2.0101,576542.43,4118513.261,0.02010050251256268
600276.SH,2025-09-23,71.0,71.19,68.5,69.7,71.05,-1.35,-1.9001,561329.57,3909219.697,-0.0190007037297677
600276.SH,2025-09-24,69.7,70.38,69.3,70.11,69.7,0.41,0.5882,395302.11,2763214.641,0.00588235294117645
600276.SH,2025-09-25,72.4,73.08,71.55,72.27,70.11,2.16,3.0809,739039.18,5347121.399,0.03080872913992283
600276.SH,2025-09-26,70.8,71.37,69.23,70.08,72.27,-2.19,-3.0303,699044.85,4900954.441,-0.030303030303030276
600276.SH,2025-09-29,69.79,69.79,67.76,69.2,70.08,-0.88,-1.2557,647991.04,4442889.453,-0.012557077625570678
600276.SH,2025-09-30,69.0,71.58,68.8,71.55,69.2,2.35,3.396,579450.78,4079739.679,0.03395953757225434
600276.SH,2025-10-09,71.56,71.66,69.11,71.15,71.55,-0.4,-0.559,592793.4,4173571.948,-0.005590496156533731
600276.SH,2025-10-10,70.38,70.88,67.85,68.2,71.15,-2.95,-4.1462,706100.7,4868800.903,-0.04146170063246668
600276.SH,2025-10-13,66.0,68.03,65.7,66.98,68.2,-1.22,-1.7889,532287.09,3555005.478,-0.017888563049853312
600276.SH,2025-10-14,67.61,67.66,63.7,64.27,66.98,-2.71,-4.046,702946.63,4593967.583,-0.04045983875783832
600276.SH,2025-10-15,64.2,66.42,63.68,66.4,64.27,2.13,3.3141,511231.63,3335928.393,0.033141434572895756
600276.SH,2025-10-16,66.43,68.5,65.72,66.84,66.4,0.44,0.6627,460377.57,3096812.048,0.0066265060240964235
600276.SH,2025-10-17,66.85,67.4,65.0,65.1,66.84,-1.74,-2.6032,349507.34,2298728.245,-0.026032315978456122
600276.SH,2025-10-20,65.99,66.51,64.83,65.13,65.1,0.03,0.0461,326716.94,2146357.392,0.00046082949308767773
600276.SH,2025-10-21,65.5,66.58,65.14,66.0,65.13,0.87,1.3358,369560.31,2436269.459,0.013357899585444644
600276.SH,2025-10-22,66.25,66.79,65.01,65.26,66.0,-0.74,-1.1212,398048.08,2610971.756,-0.011212121212121118
